Point,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
1,5.080636879,4994.919363,1.465137796,2.81576338,3.277477358,2.884604278,25.8128711,-2.155493897,2.182667927,10.37696927,1.866414844,1005.080637,6.22464E+14,-0.914427598,1.689038169,-0.301692363,6.986446969,-2.470880468,1.017985713,1.831645207
2,2.006398545,4997.993601,3.595177843,0.674411473,4.638161273,0.835174809,4.025635122,-1.048748688,0.586756569,10.38773131,-1.684111389,1002.006399,6.23997E+14,0.716706409,3.022950119,2.688450227,5.47548891,-0.724182961,0.878431845,-2.065650654
3,7.165898935,4992.834101,4.419076482,2.70260665,9.994773602,0.547761579,51.35010755,-0.834588012,1.381069157,1.308654324,-0.760413352,1007.165899,6.21425E+14,2.542486419,10.50007908,3.050432153,6.896654944,8.497838262,8.534703703,1.616822181
4,-2.17359294,5002.173593,1.346607661,1.912882021,8.642678458,3.194610473,4.724506269,1.035546252,3.034747373,6.971041259,-1.024537197,997.8264071,6.26088E+14,2.531147883,7.480679604,1.36641821,4.681419932,-0.211815886,-6.247634021,0.914309748
5,-5.439818779,5005.439819,1.399442008,0.533230501,7.368557906,3.332494289,29.59162835,-2.088033823,0.271959132,7.62193335,-1.730931472,994.5601812,6.27724E+14,-0.155916881,7.248932661,1.856301146,6.766388704,-6.023720367,-3.609372012,2.725222938
6,-5.699198054,5005.699198,4.755777089,-0.64859534,1.224424152,3.206080787,32.48085845,0.049183765,-0.277406119,3.613689295,-1.120798696,994.3008019,6.27854E+14,-1.617494844,2.724945701,-0.338632957,8.497017575,-3.780579015,7.470958604,2.074984708
7,-2.782411045,5002.782411,4.668521557,-0.409800011,3.993490381,1.669713525,7.741811224,-1.589042884,-0.668995119,5.803077991,3.508193547,997.217589,6.26392E+14,1.691858488,7.634608646,3.519630467,8.531548733,-5.952671153,7.177905579,-0.117698859
8,-1.449152716,5001.449153,8.749838647,2.983058711,7.310723716,2.44550941,2.100043595,-1.809612131,-2.056426835,3.166527133,1.138034436,998.5508473,6.25725E+14,-1.227085533,9.567165108,-1.422447082,10.90862093,-8.541850798,-8.48235363,0.807933403
9,-4.997596039,5004.997596,5.763616384,3.245757458,10.93629528,3.214240748,24.97596617,-1.071647847,2.235773366,5.873472531,3.414523864,995.002404,6.27503E+14,-1.257870689,10.04629513,1.40663092,8.069946263,7.128719929,-3.756435378,2.292286717
10,-0.060706214,5000.060706,6.920170151,3.14846472,8.244408705,0.772793265,0.003685244,-1.041626243,0.214049029,5.271022285,3.591694995,999.9392938,6.2503E+14,-2.454988582,10.49061677,-0.457383745,6.252024911,-5.18062642,-3.966859961,-1.556049421
11,-2.078977862,5002.078978,7.105273262,1.754958564,10.48800158,2.955520819,4.322148952,-0.427478468,1.868075108,6.052707284,-0.221829831,997.9210221,6.2604E+14,-2.115341963,8.733905826,-0.327071545,2.353245419,7.173834135,10.96743499,2.373292962
12,-3.817131613,5003.817132,2.044105803,-0.292919644,5.193084698,2.491643556,14.57049375,2.00180754,0.927084002,7.044746645,1.789528974,996.1828684,6.26911E+14,3.136996829,7.099770152,-1.387036983,5.080800169,-6.131910786,5.143781925,-0.581338383
13,0.7070085,4999.292991,7.92250482,-1.857578294,6.605984776,1.53032996,0.499861019,1.527616973,0.251850107,8.280191078,3.564889819,1000.707009,6.24647E+14,0.402957625,9.961458697,1.316379023,3.738135913,-1.143302754,9.12523318,0.939414429
14,-3.123834039,5003.123834,10.31623272,3.52796787,3.807517385,2.230972864,9.758339101,-2.473379723,-1.922259756,8.346005103,-1.995717393,996.876166,6.26563E+14,-1.841277452,8.51485991,3.612602435,2.774137042,-4.427881217,-7.45591128,1.491061105
15,6.582631339,4993.417369,4.892952031,2.235021617,3.388582265,1.688809434,43.33103535,0.628747784,-0.35723579,2.843636052,0.205934607,1006.582631,6.21715E+14,0.71255185,3.80579951,-1.071238788,1.501994103,-7.782565535,-3.627371423,-2.295932548
16,4.277964431,4995.722036,10.58235484,2.052594412,2.282103294,2.401861392,18.30097967,1.292733784,2.461716811,2.90874929,-1.241232211,1004.277964,6.22864E+14,-1.975723661,6.007902925,-1.004121553,2.592807541,5.158180614,4.717995002,-2.480653298
17,5.984598477,4994.015402,9.026340591,1.373549465,3.277949994,0.57609906,35.81541893,0.934210449,2.14432125,10.28366382,-1.053754868,1005.984598,6.22013E+14,0.338524738,2.905534833,0.135150165,9.734870623,9.857912244,5.550020047,-1.30141912
18,4.654931097,4995.345069,6.806467749,-0.296300914,8.303890964,1.915549019,21.66838352,-0.294053513,-0.161211674,2.996284927,1.118620029,1004.654931,6.22676E+14,-1.531523473,3.825931257,2.48575454,11.15507993,7.072787506,-0.295792357,2.645749275
19,-0.045793299,5000.045793,1.562158224,-0.230140933,9.357975654,0.456491489,0.002097026,-2.410948084,0.582772252,7.989455205,3.269367026,999.9542067,6.25023E+14,-1.050193331,4.733032844,3.177547816,5.265993911,-0.286253236,-1.287500682,-0.197881344
20,3.920244114,4996.079756,4.508763174,2.312729202,10.64705557,2.835220353,15.36831391,-1.158894173,1.413921808,7.066594676,-1.137160026,1003.920244,6.23042E+14,2.200312581,8.839572662,-0.610148806,9.087905736,0.966510751,-6.652578619,-0.191485559
21,-1.897043503,5001.897044,3.16137625,-0.135459308,8.698083253,2.32313457,3.598774052,-2.645967246,-0.058781781,3.042237451,2.345851277,998.1029565,6.25949E+14,-1.470975542,10.49740121,3.477405029,8.118712191,1.543544086,-7.617506267,-2.010438762
22,3.363322719,4996.636677,7.6769435,-1.370544147,1.391238513,1.333871013,11.31193971,2.592985589,-1.431658419,10.74190496,1.147341419,1003.363323,6.2332E+14,2.398223745,2.561526766,-1.383835986,11.07631327,1.702468622,-8.232705384,3.158758521
23,-4.288933595,5004.288934,1.657352894,-0.111554716,7.114657115,2.515308675,18.39495138,1.878422653,0.251113531,6.234072176,1.329951843,995.7110664,6.27147E+14,-2.221683307,4.986160426,3.579966091,2.338507953,2.651858722,2.881355047,-2.443648587
24,-3.616741334,5003.616741,1.894705561,1.748371219,9.874013323,3.026128441,13.08081788,-1.287077096,3.096681826,11.11710842,2.114789776,996.3832587,6.2681E+14,-2.496351809,3.796979132,-0.330182516,11.13551466,6.82700372,2.620325914,-2.480510624
